,competitionIdx,L1,L2,Attendance,Weather,PitchCondition,GoalsHalf1,GoalsHalf2,sum_goals,half_1_percent,half_2_percent,Unnamed: 11,Unnamed: 12,l1_new,uniformly_spaced_point,quantiles,l2_new
79294,1352,0.503960335,1.5151576580000001,without fans,good,Excellent,0,2,2,0.0,100.0,,,2.3351118019999997,0.935479685,1.517895953,1.9028981109999998
79295,1352,1.008900451,0.995084093,without fans,good,good,0,1,1,0.0,100.0,,,2.335133251,0.935491482,1.51798954,1.902900215
79296,1352,0.787733476,1.587050479,without fans,Hot,Excellent,1,0,1,100.0,0.0,,,2.3351862740000002,0.93550328,1.518083141,1.90298528
79297,1352,1.362522003,0.921583211,without fans,Hot,Excellent,0,2,2,0.0,100.0,,,2.33523689,0.935515077,1.518176755,1.903103715
79298,1352,0.993800373,1.170155005,without fans,good,good,0,2,2,0.0,100.0,,,2.335280905,0.935526875,1.5182703830000002,1.903193161
79299,1352,1.319818508,1.140721735,without fans,Cold,good,1,1,2,50.0,50.0,,,2.335565854,0.9355386720000001,1.518364024,1.903212381
79300,1352,1.818103955,0.814124758,without fans,good,good,2,2,4,50.0,50.0,,,2.335638734,0.93555047,1.518457678,1.903266871
79301,1352,0.71215891,1.23342833,without fans,Mild,Regular,1,1,2,50.0,50.0,,,2.335799829,0.935562267,1.518551345,1.9034516069999998
79302,1352,0.689832971,1.291561919,without fans,good,good,2,0,2,100.0,0.0,,,2.335935502,0.9355740640000001,1.518645026,1.903495648
79303,1352,0.989688391,1.0280309509999999,without fans,Sun,Excellent,2,3,5,40.0,60.0,,,2.335939701,0.935585862,1.51873872,1.903496132
79304,1352,0.8142906740000001,0.948160016,without fans,good,good,1,1,2,50.0,50.0,,,2.335942635,0.935597659,1.518832428,1.903539794
79305,1352,0.736450681,0.7943513659999999,without fans,Mild,Regular,0,1,1,0.0,100.0,,,2.33599316,0.935609457,1.518926148,1.903552525
79306,1352,0.770123337,1.23174098,without fans,Cold,Excellent,1,1,2,50.0,50.0,,,2.336109721,0.9356212540000001,1.5190198830000001,1.9036485109999999
79307,1352,0.694392137,1.259576077,without fans,Mild,Arthificial turf,1,2,3,33.33333333,66.66666667,,,2.336170886,0.935633052,1.51911363,1.90378341
79308,1352,0.5931896210000001,1.6115035080000002,without fans,Sun,Arthificial turf,0,1,1,0.0,100.0,,,2.336198941,0.9356448490000001,1.519207391,1.9038635419999999
79309,1352,1.141593643,1.003013483,without fans,good,Excellent,1,1,2,50.0,50.0,,,2.336417845,0.9356566470000001,1.519301165,1.9039122830000001
79310,1352,1.4604967340000001,0.621662254,without fans,windy,good,1,0,1,100.0,0.0,,,2.336444888,0.935668444,1.5193949530000002,1.903938841
79311,1352,1.162605795,1.006297098,without fans,Hot,good,3,2,5,60.0,40.0,,,2.3364772240000002,0.935680242,1.5194887540000002,1.904011718
79312,1352,0.628337982,1.62718517,without fans,good,good,0,3,3,0.0,100.0,,,2.336542054,0.9356920390000001,1.5195825680000001,1.904138281
79313,1352,1.514132366,0.6770446390000001,without fans,good,good,2,3,5,40.0,60.0,,,2.3365659969999997,0.935703837,1.519676395,1.904142391
79314,1352,1.26158491,1.02841514,without fans,Cold,Excellent,0,2,2,0.0,100.0,,,2.336568862,0.935715634,1.519770237,1.904295812
79315,1352,1.154123761,0.977859204,without fans,good,good,1,1,2,50.0,50.0,,,2.336571256,0.9357274309999999,1.5198640909999999,1.9043391669999998
